variable,expression,result
\Phi,\log _ { N } ( \Phi ), \frac { 1 } { \Phi \ln ( { N } ) }
\Pi,\log _ { x } ( \Pi ), \frac { 1 } { \Pi \ln ( { x } ) }
\Psi,\log _ { 8 } ( \Psi ), \frac { 1 } { \Psi \ln ( { 8 } ) }
\Sigma,\log _ { V } ( \Sigma ), \frac { 1 } { \Sigma \ln ( { V } ) }
\Theta,\log _ { f } ( \Theta ), \frac { 1 } { \Theta \ln ( { f } ) }
\Xi,\log _ { \Delta } ( \Xi ), \frac { 1 } { \Xi \ln ( { \Delta } ) }
\alpha,\log _ { i } ( \alpha ), \frac { 1 } { \alpha \ln ( { i } ) }
\beta,\log _ { \kappa } ( \beta ), \frac { 1 } { \beta \ln ( { \kappa } ) }
\chi,\log _ { \rho } ( \chi ), \frac { 1 } { \chi \ln ( { \rho } ) }
\delta,\log _ { 4 } ( \delta ), \frac { 1 } { \delta \ln ( { 4 } ) }
\epsilon,\log _ { W } ( \epsilon ), \frac { 1 } { \epsilon \ln ( { W } ) }
\eta,\log _ { \xi } ( \eta ), \frac { 1 } { \eta \ln ( { \xi } ) }
\gamma,\log _ { K } ( \gamma ), \frac { 1 } { \gamma \ln ( { K } ) }
\kappa,\log _ { 7 } ( \kappa ), \frac { 1 } { \kappa \ln ( { 7 } ) }
\lambda,\log _ { \delta } ( \lambda ), \frac { 1 } { \lambda \ln ( { \delta } ) }
\mu,\log _ { t } ( \mu ), \frac { 1 } { \mu \ln ( { t } ) }
\nu,\log _ { V } ( \nu ), \frac { 1 } { \nu \ln ( { V } ) }
\omega,\log _ { m } ( \omega ), \frac { 1 } { \omega \ln ( { m } ) }
\phi,\log _ { a } ( \phi ), \frac { 1 } { \phi \ln ( { a } ) }
\pi,\log _ { t } ( \pi ), \frac { 1 } { \pi \ln ( { t } ) }
\psi,\log _ { r } ( \psi ), \frac { 1 } { \psi \ln ( { r } ) }
\rho,\log _ { F } ( \rho ), \frac { 1 } { \rho \ln ( { F } ) }
\sigma,\log _ { p } ( \sigma ), \frac { 1 } { \sigma \ln ( { p } ) }
\tau,\log _ { m } ( \tau ), \frac { 1 } { \tau \ln ( { m } ) }
\theta,\log _ { K } ( \theta ), \frac { 1 } { \theta \ln ( { K } ) }
\varepsilon,\log _ { \Gamma } ( \varepsilon ), \frac { 1 } { \varepsilon \ln ( { \Gamma } ) }
\varphi,\log _ { Q } ( \varphi ), \frac { 1 } { \varphi \ln ( { Q } ) }
\varpi,\log _ { c } ( \varpi ), \frac { 1 } { \varpi \ln ( { c } ) }
\varrho,\log _ { \nu } ( \varrho ), \frac { 1 } { \varrho \ln ( { \nu } ) }
\vartheta,\log _ { j } ( \vartheta ), \frac { 1 } { \vartheta \ln ( { j } ) }
\xi,\log _ { \pi } ( \xi ), \frac { 1 } { \xi \ln ( { \pi } ) }
\zeta,\log _ { R } ( \zeta ), \frac { 1 } { \zeta \ln ( { R } ) }
a,\log _ { \alpha } ( a ), \frac { 1 } { a \ln ( { \alpha } ) }
b,\log _ { j } ( b ), \frac { 1 } { b \ln ( { j } ) }
c,\log _ { l } ( c ), \frac { 1 } { c \ln ( { l } ) }
d,\log _ { 0 } ( d ), \frac { 1 } { d \ln ( { 0 } ) }
e,\log _ { n } ( e ), \frac { 1 } { e \ln ( { n } ) }
f,\log _ { \Phi } ( f ), \frac { 1 } { f \ln ( { \Phi } ) }
g,\log _ { 0 } ( g ), \frac { 1 } { g \ln ( { 0 } ) }
h,\log _ { q } ( h ), \frac { 1 } { h \ln ( { q } ) }
i,\log _ { \Pi } ( i ), \frac { 1 } { i \ln ( { \Pi } ) }
j,\log _ { c } ( j ), \frac { 1 } { j \ln ( { c } ) }
k,\log _ { N } ( k ), \frac { 1 } { k \ln ( { N } ) }
l,\log _ { R } ( l ), \frac { 1 } { l \ln ( { R } ) }
m,\log _ { 7 } ( m ), \frac { 1 } { m \ln ( { 7 } ) }
n,\log _ { g } ( n ), \frac { 1 } { n \ln ( { g } ) }
o,\log _ { 5 } ( o ), \frac { 1 } { o \ln ( { 5 } ) }
p,\log _ { o } ( p ), \frac { 1 } { p \ln ( { o } ) }
q,\log _ { \nu } ( q ), \frac { 1 } { q \ln ( { \nu } ) }
r,\log _ { v } ( r ), \frac { 1 } { r \ln ( { v } ) }
s,\log _ { F } ( s ), \frac { 1 } { s \ln ( { F } ) }
t,\log _ { \xi } ( t ), \frac { 1 } { t \ln ( { \xi } ) }
u,\log _ { U } ( u ), \frac { 1 } { u \ln ( { U } ) }
v,\log _ { X } ( v ), \frac { 1 } { v \ln ( { X } ) }
w,\log _ { \varrho } ( w ), \frac { 1 } { w \ln ( { \varrho } ) }
x,\log _ { l } ( x ), \frac { 1 } { x \ln ( { l } ) }
y,\log _ { 9 } ( y ), \frac { 1 } { y \ln ( { 9 } ) }
z,\log _ { w } ( z ), \frac { 1 } { z \ln ( { w } ) }
A,\sin ( A ), \cos ( A )
B,\sin ( B ), \cos ( B )
C,\sin ( C ), \cos ( C )
D,\sin ( D ), \cos ( D )
E,\sin ( E ), \cos ( E )
F,\sin ( F ), \cos ( F )
G,\sin ( G ), \cos ( G )
H,\sin ( H ), \cos ( H )
I,\sin ( I ), \cos ( I )
J,\sin ( J ), \cos ( J )
K,\sin ( K ), \cos ( K )
L,\sin ( L ), \cos ( L )
M,\sin ( M ), \cos ( M )
N,\sin ( N ), \cos ( N )
O,\sin ( O ), \cos ( O )
P,\sin ( P ), \cos ( P )
Q,\sin ( Q ), \cos ( Q )
R,\sin ( R ), \cos ( R )
S,\sin ( S ), \cos ( S )
T,\sin ( T ), \cos ( T )
U,\sin ( U ), \cos ( U )
V,\sin ( V ), \cos ( V )
W,\sin ( W ), \cos ( W )
X,\sin ( X ), \cos ( X )
Y,\sin ( Y ), \cos ( Y )
Z,\sin ( Z ), \cos ( Z )
\Delta,\sin ( \Delta ), \cos ( \Delta )
\Gamma,\sin ( \Gamma ), \cos ( \Gamma )
\Lambda,\sin ( \Lambda ), \cos ( \Lambda )
\Omega,\sin ( \Omega ), \cos ( \Omega )
\Phi,\sin ( \Phi ), \cos ( \Phi )
\Pi,\sin ( \Pi ), \cos ( \Pi )
\Psi,\sin ( \Psi ), \cos ( \Psi )
\Sigma,\sin ( \Sigma ), \cos ( \Sigma )
\Theta,\sin ( \Theta ), \cos ( \Theta )
\Xi,\sin ( \Xi ), \cos ( \Xi )
\alpha,\sin ( \alpha ), \cos ( \alpha )
\beta,\sin ( \beta ), \cos ( \beta )
\chi,\sin ( \chi ), \cos ( \chi )
\delta,\sin ( \delta ), \cos ( \delta )
\epsilon,\sin ( \epsilon ), \cos ( \epsilon )
\eta,\sin ( \eta ), \cos ( \eta )
\gamma,\sin ( \gamma ), \cos ( \gamma )
\kappa,\sin ( \kappa ), \cos ( \kappa )
\lambda,\sin ( \lambda ), \cos ( \lambda )
\mu,\sin ( \mu ), \cos ( \mu )
\nu,\sin ( \nu ), \cos ( \nu )
\omega,\sin ( \omega ), \cos ( \omega )
\phi,\sin ( \phi ), \cos ( \phi )
\pi,\sin ( \pi ), \cos ( \pi )
\psi,\sin ( \psi ), \cos ( \psi )
\rho,\sin ( \rho ), \cos ( \rho )
\sigma,\sin ( \sigma ), \cos ( \sigma )
\tau,\sin ( \tau ), \cos ( \tau )
\theta,\sin ( \theta ), \cos ( \theta )
\varepsilon,\sin ( \varepsilon ), \cos ( \varepsilon )
\varphi,\sin ( \varphi ), \cos ( \varphi )
\varpi,\sin ( \varpi ), \cos ( \varpi )
\varrho,\sin ( \varrho ), \cos ( \varrho )
\vartheta,\sin ( \vartheta ), \cos ( \vartheta )
\xi,\sin ( \xi ), \cos ( \xi )
\zeta,\sin ( \zeta ), \cos ( \zeta )
a,\sin ( a ), \cos ( a )
b,\sin ( b ), \cos ( b )
c,\sin ( c ), \cos ( c )
d,\sin ( d ), \cos ( d )
e,\sin ( e ), \cos ( e )
f,\sin ( f ), \cos ( f )
g,\sin ( g ), \cos ( g )
h,\sin ( h ), \cos ( h )
i,\sin ( i ), \cos ( i )
j,\sin ( j ), \cos ( j )
k,\sin ( k ), \cos ( k )
l,\sin ( l ), \cos ( l )
m,\sin ( m ), \cos ( m )
n,\sin ( n ), \cos ( n )
o,\sin ( o ), \cos ( o )
p,\sin ( p ), \cos ( p )
q,\sin ( q ), \cos ( q )
r,\sin ( r ), \cos ( r )
s,\sin ( s ), \cos ( s )
t,\sin ( t ), \cos ( t )
u,\sin ( u ), \cos ( u )
v,\sin ( v ), \cos ( v )
w,\sin ( w ), \cos ( w )
x,\sin ( x ), \cos ( x )
y,\sin ( y ), \cos ( y )
z,\sin ( z ), \cos ( z )
A,\cos ( A ), - \sin ( A )
B,\cos ( B ), - \sin ( B )
C,\cos ( C ), - \sin ( C )
D,\cos ( D ), - \sin ( D )
E,\cos ( E ), - \sin ( E )
F,\cos ( F ), - \sin ( F )
G,\cos ( G ), - \sin ( G )
H,\cos ( H ), - \sin ( H )
I,\cos ( I ), - \sin ( I )
J,\cos ( J ), - \sin ( J )
K,\cos ( K ), - \sin ( K )
L,\cos ( L ), - \sin ( L )
M,\cos ( M ), - \sin ( M )
N,\cos ( N ), - \sin ( N )
O,\cos ( O ), - \sin ( O )
P,\cos ( P ), - \sin ( P )
Q,\cos ( Q ), - \sin ( Q )
R,\cos ( R ), - \sin ( R )
S,\cos ( S ), - \sin ( S )
T,\cos ( T ), - \sin ( T )
U,\cos ( U ), - \sin ( U )
V,\cos ( V ), - \sin ( V )
W,\cos ( W ), - \sin ( W )
X,\cos ( X ), - \sin ( X )
Y,\cos ( Y ), - \sin ( Y )
Z,\cos ( Z ), - \sin ( Z )
\Delta,\cos ( \Delta ), - \sin ( \Delta )
\Gamma,\cos ( \Gamma ), - \sin ( \Gamma )
\Lambda,\cos ( \Lambda ), - \sin ( \Lambda )
\Omega,\cos ( \Omega ), - \sin ( \Omega )
\Phi,\cos ( \Phi ), - \sin ( \Phi )
\Pi,\cos ( \Pi ), - \sin ( \Pi )
\Psi,\cos ( \Psi ), - \sin ( \Psi )
\Sigma,\cos ( \Sigma ), - \sin ( \Sigma )
\Theta,\cos ( \Theta ), - \sin ( \Theta )
\Xi,\cos ( \Xi ), - \sin ( \Xi )
\alpha,\cos ( \alpha ), - \sin ( \alpha )
\beta,\cos ( \beta ), - \sin ( \beta )
\chi,\cos ( \chi ), - \sin ( \chi )
\delta,\cos ( \delta ), - \sin ( \delta )
\epsilon,\cos ( \epsilon ), - \sin ( \epsilon )
\eta,\cos ( \eta ), - \sin ( \eta )
\gamma,\cos ( \gamma ), - \sin ( \gamma )
\kappa,\cos ( \kappa ), - \sin ( \kappa )
\lambda,\cos ( \lambda ), - \sin ( \lambda )
\mu,\cos ( \mu ), - \sin ( \mu )
\nu,\cos ( \nu ), - \sin ( \nu )
\omega,\cos ( \omega ), - \sin ( \omega )
\phi,\cos ( \phi ), - \sin ( \phi )
\pi,\cos ( \pi ), - \sin ( \pi )
\psi,\cos ( \psi ), - \sin ( \psi )
\rho,\cos ( \rho ), - \sin ( \rho )
\sigma,\cos ( \sigma ), - \sin ( \sigma )
\tau,\cos ( \tau ), - \sin ( \tau )
\theta,\cos ( \theta ), - \sin ( \theta )
\varepsilon,\cos ( \varepsilon ), - \sin ( \varepsilon )
\varphi,\cos ( \varphi ), - \sin ( \varphi )
\varpi,\cos ( \varpi ), - \sin ( \varpi )
\varrho,\cos ( \varrho ), - \sin ( \varrho )
\vartheta,\cos ( \vartheta ), - \sin ( \vartheta )
\xi,\cos ( \xi ), - \sin ( \xi )
\zeta,\cos ( \zeta ), - \sin ( \zeta )
a,\cos ( a ), - \sin ( a )
b,\cos ( b ), - \sin ( b )
c,\cos ( c ), - \sin ( c )
d,\cos ( d ), - \sin ( d )
e,\cos ( e ), - \sin ( e )
f,\cos ( f ), - \sin ( f )
g,\cos ( g ), - \sin ( g )
h,\cos ( h ), - \sin ( h )
i,\cos ( i ), - \sin ( i )
j,\cos ( j ), - \sin ( j )
k,\cos ( k ), - \sin ( k )
l,\cos ( l ), - \sin ( l )
m,\cos ( m ), - \sin ( m )
n,\cos ( n ), - \sin ( n )
o,\cos ( o ), - \sin ( o )
p,\cos ( p ), - \sin ( p )
q,\cos ( q ), - \sin ( q )
r,\cos ( r ), - \sin ( r )
s,\cos ( s ), - \sin ( s )
t,\cos ( t ), - \sin ( t )
u,\cos ( u ), - \sin ( u )
v,\cos ( v ), - \sin ( v )
w,\cos ( w ), - \sin ( w )
x,\cos ( x ), - \sin ( x )
y,\cos ( y ), - \sin ( y )
z,\cos ( z ), - \sin ( z )
A,\tan ( A ), \frac { 1 } { \cos ^ { 2 } ( A ) }
B,\tan ( B ), \frac { 1 } { \cos ^ { 2 } ( B ) }
C,\tan ( C ), \frac { 1 } { \cos ^ { 2 } ( C ) }
D,\tan ( D ), \frac { 1 } { \cos ^ { 2 } ( D ) }
E,\tan ( E ), \frac { 1 } { \cos ^ { 2 } ( E ) }
F,\tan ( F ), \frac { 1 } { \cos ^ { 2 } ( F ) }
G,\tan ( G ), \frac { 1 } { \cos ^ { 2 } ( G ) }
H,\tan ( H ), \frac { 1 } { \cos ^ { 2 } ( H ) }
I,\tan ( I ), \frac { 1 } { \cos ^ { 2 } ( I ) }
J,\tan ( J ), \frac { 1 } { \cos ^ { 2 } ( J ) }
K,\tan ( K ), \frac { 1 } { \cos ^ { 2 } ( K ) }
L,\tan ( L ), \frac { 1 } { \cos ^ { 2 } ( L ) }
M,\tan ( M ), \frac { 1 } { \cos ^ { 2 } ( M ) }
N,\tan ( N ), \frac { 1 } { \cos ^ { 2 } ( N ) }
O,\tan ( O ), \frac { 1 } { \cos ^ { 2 } ( O ) }
P,\tan ( P ), \frac { 1 } { \cos ^ { 2 } ( P ) }
Q,\tan ( Q ), \frac { 1 } { \cos ^ { 2 } ( Q ) }
R,\tan ( R ), \frac { 1 } { \cos ^ { 2 } ( R ) }
S,\tan ( S ), \frac { 1 } { \cos ^ { 2 } ( S ) }
T,\tan ( T ), \frac { 1 } { \cos ^ { 2 } ( T ) }
U,\tan ( U ), \frac { 1 } { \cos ^ { 2 } ( U ) }
V,\tan ( V ), \frac { 1 } { \cos ^ { 2 } ( V ) }
W,\tan ( W ), \frac { 1 } { \cos ^ { 2 } ( W ) }
X,\tan ( X ), \frac { 1 } { \cos ^ { 2 } ( X ) }
Y,\tan ( Y ), \frac { 1 } { \cos ^ { 2 } ( Y ) }
Z,\tan ( Z ), \frac { 1 } { \cos ^ { 2 } ( Z ) }
\Delta,\tan ( \Delta ), \frac { 1 } { \cos ^ { 2 } ( \Delta ) }
\Gamma,\tan ( \Gamma ), \frac { 1 } { \cos ^ { 2 } ( \Gamma ) }
\Lambda,\tan ( \Lambda ), \frac { 1 } { \cos ^ { 2 } ( \Lambda ) }
\Omega,\tan ( \Omega ), \frac { 1 } { \cos ^ { 2 } ( \Omega ) }
\Phi,\tan ( \Phi ), \frac { 1 } { \cos ^ { 2 } ( \Phi ) }
\Pi,\tan ( \Pi ), \frac { 1 } { \cos ^ { 2 } ( \Pi ) }
\Psi,\tan ( \Psi ), \frac { 1 } { \cos ^ { 2 } ( \Psi ) }
\Sigma,\tan ( \Sigma ), \frac { 1 } { \cos ^ { 2 } ( \Sigma ) }
\Theta,\tan ( \Theta ), \frac { 1 } { \cos ^ { 2 } ( \Theta ) }
\Xi,\tan ( \Xi ), \frac { 1 } { \cos ^ { 2 } ( \Xi ) }
\alpha,\tan ( \alpha ), \frac { 1 } { \cos ^ { 2 } ( \alpha ) }
\beta,\tan ( \beta ), \frac { 1 } { \cos ^ { 2 } ( \beta ) }
\chi,\tan ( \chi ), \frac { 1 } { \cos ^ { 2 } ( \chi ) }
\delta,\tan ( \delta ), \frac { 1 } { \cos ^ { 2 } ( \delta ) }
\epsilon,\tan ( \epsilon ), \frac { 1 } { \cos ^ { 2 } ( \epsilon ) }
\eta,\tan ( \eta ), \frac { 1 } { \cos ^ { 2 } ( \eta ) }
\gamma,\tan ( \gamma ), \frac { 1 } { \cos ^ { 2 } ( \gamma ) }
\kappa,\tan ( \kappa ), \frac { 1 } { \cos ^ { 2 } ( \kappa ) }
\lambda,\tan ( \lambda ), \frac { 1 } { \cos ^ { 2 } ( \lambda ) }
\mu,\tan ( \mu ), \frac { 1 } { \cos ^ { 2 } ( \mu ) }
\nu,\tan ( \nu ), \frac { 1 } { \cos ^ { 2 } ( \nu ) }
\omega,\tan ( \omega ), \frac { 1 } { \cos ^ { 2 } ( \omega ) }
\phi,\tan ( \phi ), \frac { 1 } { \cos ^ { 2 } ( \phi ) }
\pi,\tan ( \pi ), \frac { 1 } { \cos ^ { 2 } ( \pi ) }
\psi,\tan ( \psi ), \frac { 1 } { \cos ^ { 2 } ( \psi ) }
\rho,\tan ( \rho ), \frac { 1 } { \cos ^ { 2 } ( \rho ) }
\sigma,\tan ( \sigma ), \frac { 1 } { \cos ^ { 2 } ( \sigma ) }
\tau,\tan ( \tau ), \frac { 1 } { \cos ^ { 2 } ( \tau ) }
\theta,\tan ( \theta ), \frac { 1 } { \cos ^ { 2 } ( \theta ) }
\varepsilon,\tan ( \varepsilon ), \frac { 1 } { \cos ^ { 2 } ( \varepsilon ) }
\varphi,\tan ( \varphi ), \frac { 1 } { \cos ^ { 2 } ( \varphi ) }
\varpi,\tan ( \varpi ), \frac { 1 } { \cos ^ { 2 } ( \varpi ) }
\varrho,\tan ( \varrho ), \frac { 1 } { \cos ^ { 2 } ( \varrho ) }
\vartheta,\tan ( \vartheta ), \frac { 1 } { \cos ^ { 2 } ( \vartheta ) }
\xi,\tan ( \xi ), \frac { 1 } { \cos ^ { 2 } ( \xi ) }
\zeta,\tan ( \zeta ), \frac { 1 } { \cos ^ { 2 } ( \zeta ) }
a,\tan ( a ), \frac { 1 } { \cos ^ { 2 } ( a ) }
b,\tan ( b ), \frac { 1 } { \cos ^ { 2 } ( b ) }
c,\tan ( c ), \frac { 1 } { \cos ^ { 2 } ( c ) }
d,\tan ( d ), \frac { 1 } { \cos ^ { 2 } ( d ) }
e,\tan ( e ), \frac { 1 } { \cos ^ { 2 } ( e ) }
f,\tan ( f ), \frac { 1 } { \cos ^ { 2 } ( f ) }
g,\tan ( g ), \frac { 1 } { \cos ^ { 2 } ( g ) }
h,\tan ( h ), \frac { 1 } { \cos ^ { 2 } ( h ) }
i,\tan ( i ), \frac { 1 } { \cos ^ { 2 } ( i ) }
j,\tan ( j ), \frac { 1 } { \cos ^ { 2 } ( j ) }
k,\tan ( k ), \frac { 1 } { \cos ^ { 2 } ( k ) }
l,\tan ( l ), \frac { 1 } { \cos ^ { 2 } ( l ) }
m,\tan ( m ), \frac { 1 } { \cos ^ { 2 } ( m ) }
n,\tan ( n ), \frac { 1 } { \cos ^ { 2 } ( n ) }
o,\tan ( o ), \frac { 1 } { \cos ^ { 2 } ( o ) }
p,\tan ( p ), \frac { 1 } { \cos ^ { 2 } ( p ) }
q,\tan ( q ), \frac { 1 } { \cos ^ { 2 } ( q ) }
r,\tan ( r ), \frac { 1 } { \cos ^ { 2 } ( r ) }
s,\tan ( s ), \frac { 1 } { \cos ^ { 2 } ( s ) }
t,\tan ( t ), \frac { 1 } { \cos ^ { 2 } ( t ) }
u,\tan ( u ), \frac { 1 } { \cos ^ { 2 } ( u ) }
v,\tan ( v ), \frac { 1 } { \cos ^ { 2 } ( v ) }
w,\tan ( w ), \frac { 1 } { \cos ^ { 2 } ( w ) }
x,\tan ( x ), \frac { 1 } { \cos ^ { 2 } ( x ) }
y,\tan ( y ), \frac { 1 } { \cos ^ { 2 } ( y ) }
z,\tan ( z ), \frac { 1 } { \cos ^ { 2 } ( z ) }
A,\cot ( A ), - \frac { 1 } { \sin ^ { 2 } ( A ) }
B,\cot ( B ), - \frac { 1 } { \sin ^ { 2 } ( B ) }
C,\cot ( C ), - \frac { 1 } { \sin ^ { 2 } ( C ) }
D,\cot ( D ), - \frac { 1 } { \sin ^ { 2 } ( D ) }
E,\cot ( E ), - \frac { 1 } { \sin ^ { 2 } ( E ) }
F,\cot ( F ), - \frac { 1 } { \sin ^ { 2 } ( F ) }
G,\cot ( G ), - \frac { 1 } { \sin ^ { 2 } ( G ) }
H,\cot ( H ), - \frac { 1 } { \sin ^ { 2 } ( H ) }
I,\cot ( I ), - \frac { 1 } { \sin ^ { 2 } ( I ) }
J,\cot ( J ), - \frac { 1 } { \sin ^ { 2 } ( J ) }
K,\cot ( K ), - \frac { 1 } { \sin ^ { 2 } ( K ) }
L,\cot ( L ), - \frac { 1 } { \sin ^ { 2 } ( L ) }
M,\cot ( M ), - \frac { 1 } { \sin ^ { 2 } ( M ) }
N,\cot ( N ), - \frac { 1 } { \sin ^ { 2 } ( N ) }
O,\cot ( O ), - \frac { 1 } { \sin ^ { 2 } ( O ) }
P,\cot ( P ), - \frac { 1 } { \sin ^ { 2 } ( P ) }
Q,\cot ( Q ), - \frac { 1 } { \sin ^ { 2 } ( Q ) }
R,\cot ( R ), - \frac { 1 } { \sin ^ { 2 } ( R ) }
S,\cot ( S ), - \frac { 1 } { \sin ^ { 2 } ( S ) }
T,\cot ( T ), - \frac { 1 } { \sin ^ { 2 } ( T ) }
U,\cot ( U ), - \frac { 1 } { \sin ^ { 2 } ( U ) }
V,\cot ( V ), - \frac { 1 } { \sin ^ { 2 } ( V ) }
W,\cot ( W ), - \frac { 1 } { \sin ^ { 2 } ( W ) }
X,\cot ( X ), - \frac { 1 } { \sin ^ { 2 } ( X ) }
Y,\cot ( Y ), - \frac { 1 } { \sin ^ { 2 } ( Y ) }
Z,\cot ( Z ), - \frac { 1 } { \sin ^ { 2 } ( Z ) }
\Delta,\cot ( \Delta ), - \frac { 1 } { \sin ^ { 2 } ( \Delta ) }
\Gamma,\cot ( \Gamma ), - \frac { 1 } { \sin ^ { 2 } ( \Gamma ) }
\Lambda,\cot ( \Lambda ), - \frac { 1 } { \sin ^ { 2 } ( \Lambda ) }
\Omega,\cot ( \Omega ), - \frac { 1 } { \sin ^ { 2 } ( \Omega ) }
\Phi,\cot ( \Phi ), - \frac { 1 } { \sin ^ { 2 } ( \Phi ) }
\Pi,\cot ( \Pi ), - \frac { 1 } { \sin ^ { 2 } ( \Pi ) }
\Psi,\cot ( \Psi ), - \frac { 1 } { \sin ^ { 2 } ( \Psi ) }
\Sigma,\cot ( \Sigma ), - \frac { 1 } { \sin ^ { 2 } ( \Sigma ) }
\Theta,\cot ( \Theta ), - \frac { 1 } { \sin ^ { 2 } ( \Theta ) }
\Xi,\cot ( \Xi ), - \frac { 1 } { \sin ^ { 2 } ( \Xi ) }
\alpha,\cot ( \alpha ), - \frac { 1 } { \sin ^ { 2 } ( \alpha ) }
\beta,\cot ( \beta ), - \frac { 1 } { \sin ^ { 2 } ( \beta ) }
\chi,\cot ( \chi ), - \frac { 1 } { \sin ^ { 2 } ( \chi ) }
\delta,\cot ( \delta ), - \frac { 1 } { \sin ^ { 2 } ( \delta ) }
\epsilon,\cot ( \epsilon ), - \frac { 1 } { \sin ^ { 2 } ( \epsilon ) }
\eta,\cot ( \eta ), - \frac { 1 } { \sin ^ { 2 } ( \eta ) }
\gamma,\cot ( \gamma ), - \frac { 1 } { \sin ^ { 2 } ( \gamma ) }
\kappa,\cot ( \kappa ), - \frac { 1 } { \sin ^ { 2 } ( \kappa ) }
\lambda,\cot ( \lambda ), - \frac { 1 } { \sin ^ { 2 } ( \lambda ) }
\mu,\cot ( \mu ), - \frac { 1 } { \sin ^ { 2 } ( \mu ) }
\nu,\cot ( \nu ), - \frac { 1 } { \sin ^ { 2 } ( \nu ) }
\omega,\cot ( \omega ), - \frac { 1 } { \sin ^ { 2 } ( \omega ) }
\phi,\cot ( \phi ), - \frac { 1 } { \sin ^ { 2 } ( \phi ) }
\pi,\cot ( \pi ), - \frac { 1 } { \sin ^ { 2 } ( \pi ) }
\psi,\cot ( \psi ), - \frac { 1 } { \sin ^ { 2 } ( \psi ) }
\rho,\cot ( \rho ), - \frac { 1 } { \sin ^ { 2 } ( \rho ) }
\sigma,\cot ( \sigma ), - \frac { 1 } { \sin ^ { 2 } ( \sigma ) }
\tau,\cot ( \tau ), - \frac { 1 } { \sin ^ { 2 } ( \tau ) }
\theta,\cot ( \theta ), - \frac { 1 } { \sin ^ { 2 } ( \theta ) }
\varepsilon,\cot ( \varepsilon ), - \frac { 1 } { \sin ^ { 2 } ( \varepsilon ) }
\varphi,\cot ( \varphi ), - \frac { 1 } { \sin ^ { 2 } ( \varphi ) }
\varpi,\cot ( \varpi ), - \frac { 1 } { \sin ^ { 2 } ( \varpi ) }
\varrho,\cot ( \varrho ), - \frac { 1 } { \sin ^ { 2 } ( \varrho ) }
\vartheta,\cot ( \vartheta ), - \frac { 1 } { \sin ^ { 2 } ( \vartheta ) }
\xi,\cot ( \xi ), - \frac { 1 } { \sin ^ { 2 } ( \xi ) }
\zeta,\cot ( \zeta ), - \frac { 1 } { \sin ^ { 2 } ( \zeta ) }
a,\cot ( a ), - \frac { 1 } { \sin ^ { 2 } ( a ) }
b,\cot ( b ), - \frac { 1 } { \sin ^ { 2 } ( b ) }
c,\cot ( c ), - \frac { 1 } { \sin ^ { 2 } ( c ) }
d,\cot ( d ), - \frac { 1 } { \sin ^ { 2 } ( d ) }
e,\cot ( e ), - \frac { 1 } { \sin ^ { 2 } ( e ) }
f,\cot ( f ), - \frac { 1 } { \sin ^ { 2 } ( f ) }
g,\cot ( g ), - \frac { 1 } { \sin ^ { 2 } ( g ) }
h,\cot ( h ), - \frac { 1 } { \sin ^ { 2 } ( h ) }
i,\cot ( i ), - \frac { 1 } { \sin ^ { 2 } ( i ) }
j,\cot ( j ), - \frac { 1 } { \sin ^ { 2 } ( j ) }
k,\cot ( k ), - \frac { 1 } { \sin ^ { 2 } ( k ) }
l,\cot ( l ), - \frac { 1 } { \sin ^ { 2 } ( l ) }
m,\cot ( m ), - \frac { 1 } { \sin ^ { 2 } ( m ) }
n,\cot ( n ), - \frac { 1 } { \sin ^ { 2 } ( n ) }
o,\cot ( o ), - \frac { 1 } { \sin ^ { 2 } ( o ) }
p,\cot ( p ), - \frac { 1 } { \sin ^ { 2 } ( p ) }
q,\cot ( q ), - \frac { 1 } { \sin ^ { 2 } ( q ) }
r,\cot ( r ), - \frac { 1 } { \sin ^ { 2 } ( r ) }
s,\cot ( s ), - \frac { 1 } { \sin ^ { 2 } ( s ) }
t,\cot ( t ), - \frac { 1 } { \sin ^ { 2 } ( t ) }
u,\cot ( u ), - \frac { 1 } { \sin ^ { 2 } ( u ) }
v,\cot ( v ), - \frac { 1 } { \sin ^ { 2 } ( v ) }
w,\cot ( w ), - \frac { 1 } { \sin ^ { 2 } ( w ) }
x,\cot ( x ), - \frac { 1 } { \sin ^ { 2 } ( x ) }
y,\cot ( y ), - \frac { 1 } { \sin ^ { 2 } ( y ) }
z,\cot ( z ), - \frac { 1 } { \sin ^ { 2 } ( z ) }
A,\arcsin ( A ), \frac { 1 } { \sqrt { 1 - A ^ { 2 } } }
B,\arcsin ( B ), \frac { 1 } { \sqrt { 1 - B ^ { 2 } } }
C,\arcsin ( C ), \frac { 1 } { \sqrt { 1 - C ^ { 2 } } }
D,\arcsin ( D ), \frac { 1 } { \sqrt { 1 - D ^ { 2 } } }
E,\arcsin ( E ), \frac { 1 } { \sqrt { 1 - E ^ { 2 } } }
F,\arcsin ( F ), \frac { 1 } { \sqrt { 1 - F ^ { 2 } } }
G,\arcsin ( G ), \frac { 1 } { \sqrt { 1 - G ^ { 2 } } }
H,\arcsin ( H ), \frac { 1 } { \sqrt { 1 - H ^ { 2 } } }
I,\arcsin ( I ), \frac { 1 } { \sqrt { 1 - I ^ { 2 } } }
J,\arcsin ( J ), \frac { 1 } { \sqrt { 1 - J ^ { 2 } } }
